,EventName,RoundNumber,eventYear,Team,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,lapNumberAtBeginingOfStint,StintLen,CircuitLength,designedLaps,fuel_slope,fuel_bias,deg_slope,deg_bias,lag_slope_mean,lag_bias_mean
3883,Spanish Grand Prix,4,2021,Williams,MEDIUM,RUS,3.0,78.445,Qualifying,22.670270270270272,34.03243243243244,57.92162162162162,0.0,15.0,14.0,3.0,1.0,29.0,37.0,4.655,66,-0.1080929853181081,87.07942577487763,0.06214881248755312,81.59382532115114,0.06410308271436387,81.64671486645796
3884,Spanish Grand Prix,4,2021,Williams,SOFT,LAT,1.0,79.219,Qualifying,21.700000000000003,31.422222222222224,57.977777777777774,0.0,19.0,16.0,1.0,1.0,1.0,9.0,4.655,66,-0.07697193702943136,87.06214579055445,,,,
3885,Spanish Grand Prix,4,2021,Williams,SOFT,LAT,4.0,79.219,Qualifying,22.92,35.34000000000001,57.92666666666666,0.0,19.0,16.0,4.0,4.0,51.0,15.0,4.655,66,-0.07697193702943136,87.06214579055445,-0.011033333333328938,83.98471111111083,,
3886,Spanish Grand Prix,4,2021,Williams,SOFT,RUS,1.0,78.445,Qualifying,21.700000000000003,31.422222222222224,57.977777777777774,0.0,15.0,14.0,1.0,1.0,1.0,9.0,4.655,66,-0.1080929853181081,87.07942577487763,,,,
3887,Spanish Grand Prix,5,2018,Ferrari,MEDIUM,VET,2.0,76.305,Qualifying,15.8,30.087499999999995,53.36249999999999,0.9166666666666666,3.0,4.0,2.0,1.0,18.0,24.0,4.655,66,-0.42197803617571017,96.35060594315247,-0.02735603715170325,81.95211420708634,-0.020307533539732612,82.80671981424149
3888,Spanish Grand Prix,5,2018,Ferrari,MEDIUM,VET,3.0,76.305,Qualifying,16.42,31.992,50.87200000000001,0.68,3.0,4.0,3.0,1.0,42.0,25.0,4.655,66,-0.42197803617571017,96.35060594315247,-0.06317894736842024,83.41155263157887,,
3889,Spanish Grand Prix,5,2018,Ferrari,SOFT,RAI,1.0,76.612,Qualifying,16.1125,33.416666666666664,52.125,0.875,4.0,17.0,1.0,6.0,2.0,24.0,4.655,66,,,-0.10256043956044325,83.92191208791213,-0.04466066611390823,84.33800147434926
3890,Spanish Grand Prix,5,2018,Ferrari,SOFT,VET,1.0,76.305,Qualifying,16.268749999999997,34.9125,51.4625,0.8125,3.0,4.0,1.0,6.0,2.0,16.0,4.655,66,-0.42197803617571017,96.35060594315247,-0.009357142857143754,82.52107142857139,-0.055958791208793504,83.22149175824177
3891,Spanish Grand Prix,5,2018,Force India,MEDIUM,OCO,2.0,78.696,Qualifying,15.8,30.05555555555556,53.62222222222223,0.8888888888888888,13.0,16.0,2.0,1.0,30.0,9.0,4.655,66,-1.1317499999999985,119.64733333333332,,,,
3892,Spanish Grand Prix,5,2018,Force India,MEDIUM,PER,2.0,78.74,Qualifying,15.80714285714286,30.03571428571428,53.32142857142858,0.9285714285714286,15.0,9.0,2.0,1.0,27.0,14.0,4.655,66,-0.5671665243381729,102.95588528323374,-0.028421621621616478,83.11640540540525,,
3893,Spanish Grand Prix,5,2018,Force India,SOFT,OCO,1.0,78.696,Qualifying,16.060714285714287,32.73571428571429,52.40357142857142,0.8928571428571429,13.0,16.0,1.0,3.0,2.0,28.0,4.655,66,-1.1317499999999985,119.64733333333332,-0.923898901647532,102.03261308037945,,
3894,Spanish Grand Prix,5,2018,Force India,SOFT,PER,1.0,78.74,Qualifying,16.1,33.144,52.28,0.88,15.0,9.0,1.0,3.0,2.0,25.0,4.655,66,-0.5671665243381729,102.95588528323374,-0.13522205882352945,86.8191294117647,-0.5295604802355307,94.42587124607208
3895,Spanish Grand Prix,5,2018,Force India,SOFT,PER,3.0,78.74,Qualifying,16.416666666666668,31.979166666666668,50.9,0.7083333333333334,15.0,9.0,3.0,7.0,41.0,24.0,4.655,66,-0.5671665243381729,102.95588528323374,0.08057291126102735,77.7389937727037,,
3896,Spanish Grand Prix,5,2018,Haas F1 Team,MEDIUM,MAG,2.0,77.618,Qualifying,16.28181818181818,31.53333333333333,51.47272727272728,0.7575757575757576,7.0,6.0,2.0,1.0,33.0,33.0,4.655,66,-0.6092298850574716,102.82804597701146,-0.04144890229361047,83.34524977204181,0.0009578122962961289,83.14888968385333
3897,Spanish Grand Prix,5,2018,Haas F1 Team,SOFT,GRO,1.0,77.699,Qualifying,15.3,35.0,54.1,0.0,10.0,18.0,1.0,5.0,0.0,1.0,4.655,66,,,,,,
3898,Spanish Grand Prix,5,2018,Haas F1 Team,SOFT,MAG,1.0,77.618,Qualifying,16.0258064516129,32.34838709677419,52.6032258064516,0.9032258064516128,7.0,6.0,1.0,7.0,2.0,31.0,4.655,66,-0.6092298850574716,102.82804597701146,-0.04632467532467389,84.15283549783548,,
3899,Spanish Grand Prix,5,2018,McLaren,MEDIUM,ALO,2.0,77.721,Qualifying,16.129545454545454,31.06136363636364,52.00454545454545,0.7954545454545454,8.0,8.0,2.0,1.0,22.0,44.0,4.655,66,-1.605333333333336,122.07299999999998,-0.06524837710604607,85.51191321853325,-0.03461347426730874,84.45430422831424
3900,Spanish Grand Prix,5,2018,McLaren,MEDIUM,VAN,2.0,78.323,Qualifying,16.14166666666667,31.691666666666663,52.1,0.9166666666666666,11.0,15.0,2.0,1.0,35.0,12.0,4.655,66,,,,,,
3901,Spanish Grand Prix,5,2018,McLaren,SOFT,VAN,1.0,78.323,Qualifying,15.996969696969696,32.15151515151515,52.68484848484849,0.9090909090909092,11.0,15.0,1.0,6.0,2.0,33.0,4.655,66,,,-0.10345260869565015,86.43095086956518,-0.044485848356308144,85.39605841463413
3902,Spanish Grand Prix,5,2018,McLaren,SUPERSOFT,ALO,1.0,77.721,Qualifying,16.189999999999998,33.99499999999999,52.0,0.9,8.0,8.0,1.0,6.0,2.0,20.0,4.655,66,-1.605333333333336,122.07299999999998,-2.0811106719367585,113.95578162055331,,
3903,Spanish Grand Prix,5,2018,Mercedes,MEDIUM,BOT,2.0,76.213,Qualifying,16.121276595744682,31.044680851063827,52.07446808510638,0.7872340425531915,2.0,2.0,2.0,1.0,20.0,47.0,4.655,66,-1.0238823529411771,103.78474509803924,-0.046748041469837194,83.59362005768988,0.022006931646033217,81.01691121932114
3904,Spanish Grand Prix,5,2018,Mercedes,MEDIUM,HAM,2.0,76.173,Qualifying,16.178048780487803,31.141463414634146,51.88780487804877,0.7804878048780488,1.0,1.0,2.0,1.0,26.0,41.0,4.655,66,-0.7385362318840585,101.5116811594203,-0.05262449396306776,82.72354094460225,-0.04968626771645247,83.15858050114606
